Gene	Gene description	Concentration	Unit
ARPC5L	Actin related protein 2/3 complex subunit 5 like	44	ng/L
APIP	APAF1 interacting protein	44	ng/L
TWF1	Twinfilin actin binding protein 1	44	ng/L
DMP1	Dentin matrix acidic phosphoprotein 1	44	ng/L
PADI4	Peptidyl arginine deiminase 4	44	ng/L
CDK1	Cyclin dependent kinase 1	44	ng/L
TTC36	Tetratricopeptide repeat domain 36	44	ng/L
RCC2	Regulator of chromosome condensation 2	44	ng/L
DNASE1L1	Deoxyribonuclease 1 like 1	43	ng/L
CUL3	Cullin 3	43	ng/L
ELAVL1	ELAV like RNA binding protein 1	43	ng/L
EPS15	Epidermal growth factor receptor pathway substrate 15	43	ng/L
TMED2	Transmembrane p24 trafficking protein 2	43	ng/L
MSH2	MutS homolog 2	43	ng/L
MFNG	MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	43	ng/L
SAMHD1	SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1	43	ng/L
TNNT2	"Troponin T2, cardiac type"	43	ng/L
CNN1	Calponin 1	43	ng/L
ADRM1	ADRM1 26S proteasome ubiquitin receptor	43	ng/L
STAM	Signal transducing adaptor molecule	43	ng/L
MILR1	Mast cell immunoglobulin like receptor 1	43	ng/L
RTCB	"RNA 2',3'-cyclic phosphate and 5'-OH ligase"	42	ng/L
RPL24	Ribosomal protein L24	42	ng/L
ALOXE3	Arachidonate lipoxygenase 3	42	ng/L
PCYT2	"Phosphate cytidylyltransferase 2, ethanolamine"	42	ng/L
JPT1	Jupiter microtubule associated homolog 1	42	ng/L
JPT2	Jupiter microtubule associated homolog 2	42	ng/L
MRPL12	Mitochondrial ribosomal protein L12	42	ng/L
BCAT1	Branched chain amino acid transaminase 1	41	ng/L
ROCK1	Rho associated coiled-coil containing protein kinase 1	41	ng/L
STK10	Serine/threonine kinase 10	41	ng/L
C1orf198	Chromosome 1 open reading frame 198	41	ng/L
GLIPR1	GLI pathogenesis related 1	41	ng/L
PRPSAP1	Phosphoribosyl pyrophosphate synthetase associated protein 1	41	ng/L
MYOZ1	Myozenin 1	41	ng/L
ARAP1	"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1"	41	ng/L
DHRS11	Dehydrogenase/reductase 11	41	ng/L
THRAP3	Thyroid hormone receptor associated protein 3	40	ng/L
LAMP3	Lysosomal associated membrane protein 3	40	ng/L
C11orf58	Chromosome 11 open reading frame 58	40	ng/L
SORT1	Sortilin 1	40	ng/L
CMIP	C-Maf inducing protein	40	ng/L
AGFG1	ArfGAP with FG repeats 1	40	ng/L
AMACR	Alpha-methylacyl-CoA racemase	40	ng/L
KARS1	Lysyl-tRNA synthetase 1	39	ng/L
METAP2	Methionyl aminopeptidase 2	39	ng/L
GNLY	Granulysin	39	ng/L
RCN2	Reticulocalbin 2	39	ng/L
TRA2B	Transformer 2 beta homolog	39	ng/L
NCK1	NCK adaptor protein 1	39	ng/L
GLTPD2	Glycolipid transfer protein domain containing 2	39	ng/L
AGPS	Alkylglycerone phosphate synthase	38	ng/L
RANGAP1	Ran GTPase activating protein 1	38	ng/L
VNN2	Vanin 2	38	ng/L
MTHFD1L	Methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like	38	ng/L
FN3KRP	Fructosamine 3 kinase related protein	38	ng/L
IGSF1	Immunoglobulin superfamily member 1	38	ng/L
SSRP1	Structure specific recognition protein 1	38	ng/L
TAF3	TATA-box binding protein associated factor 3	38	ng/L
MSRA	Methionine sulfoxide reductase A	38	ng/L
SF3A3	Splicing factor 3a subunit 3	38	ng/L
C6orf58	Chromosome 6 open reading frame 58	38	ng/L
MUC6	"Mucin 6, oligomeric mucus/gel-forming"	38	ng/L
NTRK1	Neurotrophic receptor tyrosine kinase 1	38	ng/L
PPME1	Protein phosphatase methylesterase 1	38	ng/L
ASNS	Asparagine synthetase (glutamine-hydrolyzing)	37	ng/L
DDX1	DEAD-box helicase 1	37	ng/L
AGO2	Argonaute RISC catalytic component 2	37	ng/L
ATP5IF1	ATP synthase inhibitory factor subunit 1	37	ng/L
RPA1	Replication protein A1	37	ng/L
RPS11	Ribosomal protein S11	37	ng/L
RANBP2	RAN binding protein 2	37	ng/L
PCDH19	Protocadherin 19	37	ng/L
PDHB	Pyruvate dehydrogenase E1 subunit beta	37	ng/L
RPS9	Ribosomal protein S9	37	ng/L
CNP	"2',3'-cyclic nucleotide 3' phosphodiesterase"	37	ng/L
CSDE1	Cold shock domain containing E1	36	ng/L
NUCKS1	Nuclear casein kinase and cyclin dependent kinase substrate 1	36	ng/L
ITGAE	Integrin subunit alpha E	36	ng/L
TRIP6	Thyroid hormone receptor interactor 6	36	ng/L
EIF3D	Eukaryotic translation initiation factor 3 subunit D	36	ng/L
AP3B1	Adaptor related protein complex 3 subunit beta 1	36	ng/L
AKT1	AKT serine/threonine kinase 1	36	ng/L
FMNL1	Formin like 1	36	ng/L
NCKIPSD	NCK interacting protein with SH3 domain	36	ng/L
GALC	Galactosylceramidase	35	ng/L
SF3B2	Splicing factor 3b subunit 2	35	ng/L
SF3A1	Splicing factor 3a subunit 1	35	ng/L
SEC23A	"SEC23 homolog A, COPII coat complex component"	35	ng/L
ALDH5A1	Aldehyde dehydrogenase 5 family member A1	35	ng/L
LRRN4	Leucine rich repeat neuronal 4	35	ng/L
UFC1	Ubiquitin-fold modifier conjugating enzyme 1	35	ng/L
PTRHD1	Peptidyl-tRNA hydrolase domain containing 1	35	ng/L
SLC7A5	Solute carrier family 7 member 5	34	ng/L
SCAMP3	Secretory carrier membrane protein 3	34	ng/L
RTN3	Reticulon 3	34	ng/L
SKIC8	SKI8 subunit of superkiller complex	34	ng/L
SFXN1	Sideroflexin 1	34	ng/L
NPLOC4	"NPL4 homolog, ubiquitin recognition factor"	34	ng/L
MXRA7	Matrix remodeling associated 7	34	ng/L
ENTPD6	Ectonucleoside triphosphate diphosphohydrolase 6	34	ng/L
TRIP13	Thyroid hormone receptor interactor 13	33	ng/L
UBA5	Ubiquitin like modifier activating enzyme 5	33	ng/L
NUP155	Nucleoporin 155	33	ng/L
KTN1	Kinectin 1	33	ng/L
NUP210	Nucleoporin 210	33	ng/L
SEC31A	"SEC31 homolog A, COPII coat complex component"	33	ng/L
LACTB2	Lactamase beta 2	33	ng/L
TDRP	Testis development related protein	33	ng/L
FAM114A1	Family with sequence similarity 114 member A1	33	ng/L
PLCG2	Phospholipase C gamma 2	33	ng/L
TAF15	TATA-box binding protein associated factor 15	33	ng/L
PCNP	PEST proteolytic signal containing nuclear protein	32	ng/L
TOMM22	Translocase of outer mitochondrial membrane 22	32	ng/L
ST8SIA5	"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 5"	32	ng/L
PCDHB14	Protocadherin beta 14	32	ng/L
COPS5	COP9 signalosome subunit 5	32	ng/L
VPS26A	VPS26 retromer complex component A	32	ng/L
RPL13A	Ribosomal protein L13a	32	ng/L
ABHD10	"Abhydrolase domain containing 10, depalmitoylase"	32	ng/L
EIF3H	Eukaryotic translation initiation factor 3 subunit H	32	ng/L
APPL1	"Adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 1"	32	ng/L
GMPS	Guanine monophosphate synthase	32	ng/L
UQCRFS1	"Ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1"	32	ng/L
TCAP	Titin-cap	32	ng/L
CHST1	Carbohydrate sulfotransferase 1	32	ng/L
SPRYD4	SPRY domain containing 4	32	ng/L
FARSA	Phenylalanyl-tRNA synthetase subunit alpha	32	ng/L
RUVBL2	RuvB like AAA ATPase 2	32	ng/L
SRL	Sarcalumenin	32	ng/L
CORO7	Coronin 7	32	ng/L
RAB21	"RAB21, member RAS oncogene family"	31	ng/L
PDCD5	Programmed cell death 5	31	ng/L
AGR2	"Anterior gradient 2, protein disulphide isomerase family member"	31	ng/L
GMDS	"GDP-mannose 4,6-dehydratase"	31	ng/L
EPHA2	EPH receptor A2	31	ng/L
GPC3	Glypican 3	31	ng/L
CACNA2D3	Calcium voltage-gated channel auxiliary subunit alpha2delta 3	31	ng/L
DEFA4	Defensin alpha 4	31	ng/L
GAPVD1	GTPase activating protein and VPS9 domains 1	31	ng/L
PDZK1	PDZ domain containing 1	31	ng/L
ANO6	Anoctamin 6	31	ng/L
PUF60	Poly(U) binding splicing factor 60	31	ng/L
RGS6	Regulator of G protein signaling 6	31	ng/L
RPL37A	Ribosomal protein L37a	31	ng/L
DUSP14	Dual specificity phosphatase 14	31	ng/L
U2AF2	U2 small nuclear RNA auxiliary factor 2	30	ng/L
FAM107B	Family with sequence similarity 107 member B	30	ng/L
NRDC	Nardilysin convertase	30	ng/L
ZMPSTE24	Zinc metallopeptidase STE24	30	ng/L
HUWE1	"HECT, UBA and WWE domain containing E3 ubiquitin protein ligase 1"	30	ng/L
CALB1	Calbindin 1	30	ng/L
OAS3	2'-5'-oligoadenylate synthetase 3	30	ng/L
POGLUT2	Protein O-glucosyltransferase 2	30	ng/L
TMEM108	Transmembrane protein 108	30	ng/L
ALDH4A1	Aldehyde dehydrogenase 4 family member A1	30	ng/L
TOM1L2	Target of myb1 like 2 membrane trafficking protein	30	ng/L
UBE2F	Ubiquitin conjugating enzyme E2 F (putative)	30	ng/L
KRTAP13-4	Keratin associated protein 13-4	30	ng/L
TOR4A	Torsin family 4 member A	30	ng/L
PPP3R1	"Protein phosphatase 3 regulatory subunit B, alpha"	30	ng/L
WNK1	WNK lysine deficient protein kinase 1	29	ng/L
COL17A1	Collagen type XVII alpha 1 chain	29	ng/L
CA12	Carbonic anhydrase 12	29	ng/L
NDUFA8	NADH:ubiquinone oxidoreductase subunit A8	29	ng/L
SEC61G	SEC61 translocon subunit gamma	29	ng/L
STXBP1	Syntaxin binding protein 1	29	ng/L
MMP7	Matrix metallopeptidase 7	29	ng/L
MCU	Mitochondrial calcium uniporter	29	ng/L
U2AF1	U2 small nuclear RNA auxiliary factor 1	29	ng/L
POLR2H	"RNA polymerase II, I and III subunit H"	29	ng/L
GREM1	"Gremlin 1, DAN family BMP antagonist"	29	ng/L
SNCG	Synuclein gamma	29	ng/L
MIA	MIA SH3 domain containing	29	ng/L
RBM8A	RNA binding motif protein 8A	29	ng/L
FUT8	Fucosyltransferase 8	28	ng/L
SMPX	Small muscle protein X-linked	28	ng/L
EIF3L	Eukaryotic translation initiation factor 3 subunit L	28	ng/L
GALK1	Galactokinase 1	28	ng/L
LAMTOR2	"Late endosomal/lysosomal adaptor, MAPK and MTOR activator 2"	28	ng/L
TNFRSF8	TNF receptor superfamily member 8	28	ng/L
LSM8	"LSM8 homolog, U6 small nuclear RNA associated"	28	ng/L
LRRC47	Leucine rich repeat containing 47	28	ng/L
TTYH3	Tweety family member 3	28	ng/L
IL36G	Interleukin 36 gamma	28	ng/L
TINAG	Tubulointerstitial nephritis antigen	28	ng/L
RPL32	Ribosomal protein L32	28	ng/L
SAFB	Scaffold attachment factor B	28	ng/L
VPREB1	V-set pre-B cell surrogate light chain 1	28	ng/L
NDUFS1	NADH:ubiquinone oxidoreductase core subunit S1	27	ng/L
CST7	Cystatin F	27	ng/L
GYS1	Glycogen synthase 1	27	ng/L
ADPRS	ADP-ribosylserine hydrolase	27	ng/L
SNRPD2	Small nuclear ribonucleoprotein D2 polypeptide	27	ng/L
BTF3L4	Basic transcription factor 3 like 4	27	ng/L
MYO1G	Myosin IG	27	ng/L
RASA1	RAS p21 protein activator 1	27	ng/L
OTOA	Otoancorin	27	ng/L
STOML2	Stomatin like 2	27	ng/L
METTL7A	Methyltransferase like 7A	27	ng/L
PRKG1	Protein kinase cGMP-dependent 1	27	ng/L
LONP1	"Lon peptidase 1, mitochondrial"	27	ng/L
PPP1R11	Protein phosphatase 1 regulatory inhibitor subunit 11	27	ng/L
CCL23	C-C motif chemokine ligand 23	27	ng/L
LMCD1	LIM and cysteine rich domains 1	26	ng/L
BPIFB2	BPI fold containing family B member 2	26	ng/L
GNPNAT1	Glucosamine-phosphate N-acetyltransferase 1	26	ng/L
MAPK3	Mitogen-activated protein kinase 3	26	ng/L
OSBP	Oxysterol binding protein	26	ng/L
NRBP1	Nuclear receptor binding protein 1	26	ng/L
GALNT12	Polypeptide N-acetylgalactosaminyltransferase 12	26	ng/L
ALDH6A1	Aldehyde dehydrogenase 6 family member A1	26	ng/L
NCKAP1L	NCK associated protein 1 like	26	ng/L
PPCS	Phosphopantothenoylcysteine synthetase	26	ng/L
TMBIM1	Transmembrane BAX inhibitor motif containing 1	26	ng/L
G3BP2	G3BP stress granule assembly factor 2	26	ng/L
SUOX	Sulfite oxidase	26	ng/L
SAE1	SUMO1 activating enzyme subunit 1	26	ng/L
CERS2	Ceramide synthase 2	26	ng/L
ASAP1	"ArfGAP with SH3 domain, ankyrin repeat and PH domain 1"	26	ng/L
SEC13	"SEC13 homolog, nuclear pore and COPII coat complex component"	26	ng/L
CLPX	Caseinolytic mitochondrial matrix peptidase chaperone subunit X	26	ng/L
GPRC5B	G protein-coupled receptor class C group 5 member B	26	ng/L
NUDCD2	NudC domain containing 2	26	ng/L
EIF3I	Eukaryotic translation initiation factor 3 subunit I	25	ng/L
SH3GLB1	"SH3 domain containing GRB2 like, endophilin B1"	25	ng/L
TIMM9	Translocase of inner mitochondrial membrane 9	25	ng/L
PSMD14	"Proteasome 26S subunit, non-ATPase 14"	25	ng/L
NT5C3A	"5'-nucleotidase, cytosolic IIIA"	25	ng/L
HP1BP3	Heterochromatin protein 1 binding protein 3	25	ng/L
ATXN10	Ataxin 10	25	ng/L
SARAF	Store-operated calcium entry associated regulatory factor	25	ng/L
UBAP2L	Ubiquitin associated protein 2 like	25	ng/L
BUB3	BUB3 mitotic checkpoint protein	25	ng/L
PSIP1	PC4 and SFRS1 interacting protein 1	25	ng/L
IDH3A	Isocitrate dehydrogenase (NAD(+)) 3 catalytic subunit alpha	25	ng/L
IRGQ	Immunity related GTPase Q	25	ng/L
ITGBL1	Integrin subunit beta like 1	25	ng/L
ELFN1	Extracellular leucine rich repeat and fibronectin type III domain containing 1	25	ng/L
NCKAP1	NCK associated protein 1	24	ng/L
MCM6	Minichromosome maintenance complex component 6	24	ng/L
STK4	Serine/threonine kinase 4	24	ng/L
EIF3E	Eukaryotic translation initiation factor 3 subunit E	24	ng/L
HNRNPUL1	Heterogeneous nuclear ribonucleoprotein U like 1	24	ng/L
TSNAX	Translin associated factor X	24	ng/L
GALNT15	Polypeptide N-acetylgalactosaminyltransferase 15	24	ng/L
NIPSNAP3A	Nipsnap homolog 3A	24	ng/L
TPPP3	Tubulin polymerization promoting protein family member 3	24	ng/L
SLC45A1	Solute carrier family 45 member 1	24	ng/L
RPRD2	Regulation of nuclear pre-mRNA domain containing 2	24	ng/L
FADD	Fas associated via death domain	24	ng/L
GMPPB	GDP-mannose pyrophosphorylase B	24	ng/L
EIF4EBP1	Eukaryotic translation initiation factor 4E binding protein 1	24	ng/L
ERVH48-1	Endogenous retrovirus group 48 member 1	24	ng/L
SPESP1	Sperm equatorial segment protein 1	24	ng/L
COASY	Coenzyme A synthase	23	ng/L
SNAP29	Synaptosome associated protein 29	23	ng/L
GLS	Glutaminase	23	ng/L
EFHD1	EF-hand domain family member D1	23	ng/L
UAP1	UDP-N-acetylglucosamine pyrophosphorylase 1	23	ng/L
NLN	Neurolysin	23	ng/L
BMP6	Bone morphogenetic protein 6	23	ng/L
GASK1B	Golgi associated kinase 1B	23	ng/L
SUGT1	"SGT1 homolog, MIS12 kinetochore complex assembly cochaperone"	23	ng/L
TMEM43	Transmembrane protein 43	23	ng/L
SRP72	Signal recognition particle 72	23	ng/L
FAF1	Fas associated factor 1	23	ng/L
EXOSC7	Exosome component 7	22	ng/L
RTRAF	"RNA transcription, translation and transport factor"	22	ng/L
IGBP1	Immunoglobulin binding protein 1	22	ng/L
SUCO	SUN domain containing ossification factor	22	ng/L
TOM1	Target of myb1 membrane trafficking protein	22	ng/L
LY9	Lymphocyte antigen 9	22	ng/L
SRRM1	Serine and arginine repetitive matrix 1	22	ng/L
SWAP70	Switching B cell complex subunit SWAP70	22	ng/L
ACP2	"Acid phosphatase 2, lysosomal"	22	ng/L
DYNC1LI2	Dynein cytoplasmic 1 light intermediate chain 2	22	ng/L
MIEN1	Migration and invasion enhancer 1	22	ng/L
MYO1F	Myosin IF	22	ng/L
AP2M1	Adaptor related protein complex 2 subunit mu 1	22	ng/L
JAM3	Junctional adhesion molecule 3	22	ng/L
RECQL	RecQ like helicase	21	ng/L
CREB3L3	CAMP responsive element binding protein 3 like 3	21	ng/L
SEPHS1	Selenophosphate synthetase 1	21	ng/L
RBBP9	"RB binding protein 9, serine hydrolase"	21	ng/L
SUPT16H	"SPT16 homolog, facilitates chromatin remodeling subunit"	21	ng/L
ECHDC1	Ethylmalonyl-CoA decarboxylase 1	21	ng/L
GIT1	GIT ArfGAP 1	21	ng/L
RBP1	Retinol binding protein 1	21	ng/L
TNR	Tenascin R	21	ng/L
WDR77	WD repeat domain 77	21	ng/L
ADGRB2	Adhesion G protein-coupled receptor B2	21	ng/L
NUP214	Nucleoporin 214	21	ng/L
NDUFA5	NADH:ubiquinone oxidoreductase subunit A5	21	ng/L
IGF1R	Insulin like growth factor 1 receptor	21	ng/L
TACC1	Transforming acidic coiled-coil containing protein 1	21	ng/L
NPTN	Neuroplastin	21	ng/L
AMOTL1	Angiomotin like 1	21	ng/L
SRP68	Signal recognition particle 68	21	ng/L
CHST11	Carbohydrate sulfotransferase 11	21	ng/L
DCTPP1	DCTP pyrophosphatase 1	21	ng/L
CNTN2	Contactin 2	21	ng/L
CCK	Cholecystokinin	21	ng/L
GET3	"Guided entry of tail-anchored proteins factor 3, ATPase"	21	ng/L
NUDT16	Nudix hydrolase 16	21	ng/L
TRABD2B	TraB domain containing 2B	21	ng/L
AASS	Aminoadipate-semialdehyde synthase	20	ng/L
TNS1	Tensin 1	20	ng/L
GTPBP1	GTP binding protein 1	20	ng/L
PBDC1	Polysaccharide biosynthesis domain containing 1	20	ng/L
DNAJA3	DnaJ heat shock protein family (Hsp40) member A3	20	ng/L
RPL18A	Ribosomal protein L18a	20	ng/L
C1GALT1	"Core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1"	20	ng/L
CRACD	Capping protein inhibiting regulator of actin dynamics	20	ng/L
VWA5A	Von Willebrand factor A domain containing 5A	20	ng/L
VEGFA	Vascular endothelial growth factor A	20	ng/L
FAM162A	Family with sequence similarity 162 member A	20	ng/L
L3HYPDH	Trans-L-3-hydroxyproline dehydratase	20	ng/L
RPL36	Ribosomal protein L36	20	ng/L
ATP6V1E1	ATPase H+ transporting V1 subunit E1	20	ng/L
AMPD3	Adenosine monophosphate deaminase 3	20	ng/L
TBRG4	Transforming growth factor beta regulator 4	20	ng/L
TPMT	Thiopurine S-methyltransferase	20	ng/L
COPS7B	COP9 signalosome subunit 7B	20	ng/L
ACSL1	Acyl-CoA synthetase long chain family member 1	20	ng/L
NADK2	"NAD kinase 2, mitochondrial"	20	ng/L
CD1B	CD1b molecule	20	ng/L
TMED4	Transmembrane p24 trafficking protein 4	20	ng/L
DPY30	Dpy-30 histone methyltransferase complex regulatory subunit	20	ng/L
METAP1	Methionyl aminopeptidase 1	20	ng/L
MAP1A	Microtubule associated protein 1A	20	ng/L
ATP5MG	ATP synthase membrane subunit g	20	ng/L
DLK2	Delta like non-canonical Notch ligand 2	20	ng/L
COL24A1	Collagen type XXIV alpha 1 chain	20	ng/L
PDE3A	Phosphodiesterase 3A	20	ng/L
GNG7	G protein subunit gamma 7	20	ng/L
CTNNBIP1	Catenin beta interacting protein 1	20	ng/L
RPL35A	Ribosomal protein L35a	20	ng/L
EWSR1	EWS RNA binding protein 1	20	ng/L
ACADSB	Acyl-CoA dehydrogenase short/branched chain	20	ng/L
INPP5B	Inositol polyphosphate-5-phosphatase B	20	ng/L
NUP160	Nucleoporin 160	19	ng/L
OGFR	Opioid growth factor receptor	19	ng/L
ALDH3A2	Aldehyde dehydrogenase 3 family member A2	19	ng/L
CBX5	Chromobox 5	19	ng/L
TREM2	Triggering receptor expressed on myeloid cells 2	19	ng/L
BCAT2	Branched chain amino acid transaminase 2	19	ng/L
YKT6	YKT6 v-SNARE homolog	19	ng/L
CDK2	Cyclin dependent kinase 2	19	ng/L
EIF3G	Eukaryotic translation initiation factor 3 subunit G	19	ng/L
DNAJB1	DnaJ heat shock protein family (Hsp40) member B1	19	ng/L
RAP1GAP2	RAP1 GTPase activating protein 2	19	ng/L
IGF2BP3	Insulin like growth factor 2 mRNA binding protein 3	19	ng/L
MAN2C1	Mannosidase alpha class 2C member 1	19	ng/L
SF3B4	Splicing factor 3b subunit 4	19	ng/L
ADPRH	ADP-ribosylarginine hydrolase	19	ng/L
TNKS1BP1	Tankyrase 1 binding protein 1	19	ng/L
ATP6V1C1	ATPase H+ transporting V1 subunit C1	19	ng/L
ACOX2	Acyl-CoA oxidase 2	19	ng/L
SRPRA	SRP receptor subunit alpha	19	ng/L
GAL3ST4	Galactose-3-O-sulfotransferase 4	19	ng/L
ADGRG1	Adhesion G protein-coupled receptor G1	19	ng/L
PPP2R2A	Protein phosphatase 2 regulatory subunit Balpha	19	ng/L
TAPBP	TAP binding protein	19	ng/L
CTPS2	CTP synthase 2	18	ng/L
CD40LG	CD40 ligand	18	ng/L
TJP1	Tight junction protein 1	18	ng/L
EIF4G2	Eukaryotic translation initiation factor 4 gamma 2	18	ng/L
PPM1G	"Protein phosphatase, Mg2+/Mn2+ dependent 1G"	18	ng/L
SRM	Spermidine synthase	18	ng/L
ACSL3	Acyl-CoA synthetase long chain family member 3	18	ng/L
PLVAP	Plasmalemma vesicle associated protein	18	ng/L
MYBPC3	Myosin binding protein C3	18	ng/L
SNRPF	Small nuclear ribonucleoprotein polypeptide F	18	ng/L
FANCI	FA complementation group I	18	ng/L
GMPPA	GDP-mannose pyrophosphorylase A	18	ng/L
EIF2A	Eukaryotic translation initiation factor 2A	18	ng/L
DLAT	Dihydrolipoamide S-acetyltransferase	18	ng/L
EPS8	Epidermal growth factor receptor pathway substrate 8	18	ng/L
UBXN1	UBX domain protein 1	18	ng/L
SBSPON	Somatomedin B and thrombospondin type 1 domain containing	18	ng/L
CLEC1B	C-type lectin domain family 1 member B	18	ng/L
PMPCA	"Peptidase, mitochondrial processing subunit alpha"	18	ng/L
MFF	Mitochondrial fission factor	18	ng/L
RSPO1	R-spondin 1	18	ng/L
GAP43	Growth associated protein 43	18	ng/L
ATP5MK	ATP synthase membrane subunit k	18	ng/L
GPX2	Glutathione peroxidase 2	18	ng/L
CDC42BPB	CDC42 binding protein kinase beta	18	ng/L
AIF1	Allograft inflammatory factor 1	18	ng/L
PCDHGA12	"Protocadherin gamma subfamily A, 12"	18	ng/L
CLCA1	Chloride channel accessory 1	17	ng/L
ATP6V1H	ATPase H+ transporting V1 subunit H	17	ng/L
PTPRN	Protein tyrosine phosphatase receptor type N	17	ng/L
P4HA2	Prolyl 4-hydroxylase subunit alpha 2	17	ng/L
COMT	Catechol-O-methyltransferase	17	ng/L
TMED8	Transmembrane p24 trafficking protein family member 8	17	ng/L
TGM5	Transglutaminase 5	17	ng/L
CAPS	Calcyphosine	17	ng/L
CDK6	Cyclin dependent kinase 6	17	ng/L
CPT1A	Carnitine palmitoyltransferase 1A	17	ng/L
HDDC2	HD domain containing 2	17	ng/L
UXS1	UDP-glucuronate decarboxylase 1	17	ng/L
UBR4	Ubiquitin protein ligase E3 component n-recognin 4	17	ng/L
RMDN3	Regulator of microtubule dynamics 3	17	ng/L
SDSL	Serine dehydratase like	17	ng/L
NOL3	Nucleolar protein 3	17	ng/L
CPSF7	Cleavage and polyadenylation specific factor 7	17	ng/L
TBCEL	Tubulin folding cofactor E like	17	ng/L
UBE2L6	Ubiquitin conjugating enzyme E2 L6	17	ng/L
SPINT2	"Serine peptidase inhibitor, Kunitz type 2"	17	ng/L
VWC2	Von Willebrand factor C domain containing 2	17	ng/L
NCAPD2	Non-SMC condensin I complex subunit D2	16	ng/L
CLNS1A	Chloride nucleotide-sensitive channel 1A	16	ng/L
SF3A2	Splicing factor 3a subunit 2	16	ng/L
NMI	N-myc and STAT interactor	16	ng/L
CRISP1	Cysteine rich secretory protein 1	16	ng/L
MACF1	Microtubule actin crosslinking factor 1	16	ng/L
ATP6V1F	ATPase H+ transporting V1 subunit F	16	ng/L
STT3A	STT3 oligosaccharyltransferase complex catalytic subunit A	16	ng/L
PPCDC	Phosphopantothenoylcysteine decarboxylase	16	ng/L
PTGR2	Prostaglandin reductase 2	16	ng/L
UTRN	Utrophin	16	ng/L
ADAMTS4	ADAM metallopeptidase with thrombospondin type 1 motif 4	16	ng/L
PPM1L	"Protein phosphatase, Mg2+/Mn2+ dependent 1L"	16	ng/L
NUDT21	Nudix hydrolase 21	16	ng/L
SRRM2	Serine/arginine repetitive matrix 2	16	ng/L
PAH	Phenylalanine hydroxylase	16	ng/L
SNTB1	Syntrophin beta 1	16	ng/L
OPLAH	"5-oxoprolinase, ATP-hydrolysing"	16	ng/L
SEPHS2	Selenophosphate synthetase 2	16	ng/L
TMED9	Transmembrane p24 trafficking protein 9	16	ng/L
FLRT2	Fibronectin leucine rich transmembrane protein 2	16	ng/L
MANEAL	Mannosidase endo-alpha like	16	ng/L
RTN4RL1	Reticulon 4 receptor like 1	16	ng/L
NCR3LG1	Natural killer cell cytotoxicity receptor 3 ligand 1	16	ng/L
CD2AP	CD2 associated protein	16	ng/L
HMGN5	High mobility group nucleosome binding domain 5	16	ng/L
GPSM3	G protein signaling modulator 3	16	ng/L
MUSTN1	"Musculoskeletal, embryonic nuclear protein 1"	16	ng/L
NOP58	NOP58 ribonucleoprotein	15	ng/L
CBFB	Core-binding factor subunit beta	15	ng/L
ATP1B3	ATPase Na+/K+ transporting subunit beta 3	15	ng/L
SCD	Stearoyl-CoA desaturase	15	ng/L
SNRPD3	Small nuclear ribonucleoprotein D3 polypeptide	15	ng/L
RPRD1B	Regulation of nuclear pre-mRNA domain containing 1B	15	ng/L
GSDMD	Gasdermin D	15	ng/L
RPL28	Ribosomal protein L28	15	ng/L
PPP2R5D	Protein phosphatase 2 regulatory subunit B'delta	15	ng/L
ERBIN	Erbb2 interacting protein	15	ng/L
P3H1	Prolyl 3-hydroxylase 1	15	ng/L
EEF1E1	Eukaryotic translation elongation factor 1 epsilon 1	15	ng/L
RALY	RALY heterogeneous nuclear ribonucleoprotein	15	ng/L
PALLD	"Palladin, cytoskeletal associated protein"	15	ng/L
DKC1	Dyskerin pseudouridine synthase 1	15	ng/L
RTCA	RNA 3'-terminal phosphate cyclase	15	ng/L
GLTP	Glycolipid transfer protein	15	ng/L
CUL4A	Cullin 4A	15	ng/L
UNC45A	Unc-45 myosin chaperone A	15	ng/L
SEC16A	"SEC16 homolog A, endoplasmic reticulum export factor"	15	ng/L
OGFOD3	2-oxoglutarate and iron dependent oxygenase domain containing 3	15	ng/L
UBE2H	Ubiquitin conjugating enzyme E2 H	15	ng/L
AP1M1	Adaptor related protein complex 1 subunit mu 1	14	ng/L
CHMP5	Charged multivesicular body protein 5	14	ng/L
FKBP5	FKBP prolyl isomerase 5	14	ng/L
SRSF5	Serine and arginine rich splicing factor 5	14	ng/L
KPNA3	Karyopherin subunit alpha 3	14	ng/L
AIMP2	Aminoacyl tRNA synthetase complex interacting multifunctional protein 2	14	ng/L
ACOT13	Acyl-CoA thioesterase 13	14	ng/L
COL7A1	Collagen type VII alpha 1 chain	14	ng/L
IGSF21	Immunoglobin superfamily member 21	14	ng/L
COX7C	Cytochrome c oxidase subunit 7C	14	ng/L
DUT	Deoxyuridine triphosphatase	14	ng/L
WASF3	WASP family member 3	14	ng/L
TMX1	Thioredoxin related transmembrane protein 1	14	ng/L
